"","ns","Value","Name","n_clus","clustering","level"
"2331","7_33",0.880376857532789,"tSNE_KMEANS_45-55",36,"tSNE_KMEANS_45",55
"2332","7_33",0.99382217035811,"sc3_40-60",40,"sc3_40",60
"2333","7_33",0.988355824526768,"sc3_45-60",45,"sc3_45",60
"2334","7_33",0.844304615476106,"UMAP_KMEANS_35-60",27,"UMAP_KMEANS_35",60
"2335","7_33",0.93463043474743,"UMAP_KMEANS_45-60",36,"UMAP_KMEANS_45",60
"2336","7_33",0.803052950383134,"tSNE_KMEANS_35-60",29,"tSNE_KMEANS_35",60
"2337","7_33",0.888946773113302,"tSNE_KMEANS_40-60",35,"tSNE_KMEANS_40",60
"2338","7_33",0.891712142550816,"tSNE_KMEANS_45-60",34,"tSNE_KMEANS_45",60
"2339","7_33",0.99382217035811,"sc3_40-65",40,"sc3_40",65
"2340","7_33",0.988355824526768,"sc3_45-65",45,"sc3_45",65
"2341","7_33",0.854127380967983,"UMAP_KMEANS_35-65",26,"UMAP_KMEANS_35",65
"2342","7_33",0.944955507865795,"UMAP_KMEANS_45-65",35,"UMAP_KMEANS_45",65
"2343","7_33",0.803052950383134,"tSNE_KMEANS_35-65",29,"tSNE_KMEANS_35",65
"2344","7_33",0.902869450776354,"tSNE_KMEANS_40-65",33,"tSNE_KMEANS_40",65
"2345","7_33",0.891712142550816,"tSNE_KMEANS_45-65",34,"tSNE_KMEANS_45",65
"2346","7_33",0.99382217035811,"sc3_40-70",40,"sc3_40",70
"2347","7_33",0.988355824526768,"sc3_45-70",45,"sc3_45",70
"2348","7_33",0.854127380967983,"UMAP_KMEANS_35-70",26,"UMAP_KMEANS_35",70
"2349","7_33",0.944955507865795,"UMAP_KMEANS_45-70",35,"UMAP_KMEANS_45",70
"2350","7_33",0.812613791623795,"tSNE_KMEANS_35-70",27,"tSNE_KMEANS_35",70
"2351","7_33",0.910533783895314,"tSNE_KMEANS_40-70",32,"tSNE_KMEANS_40",70
"2352","7_33",0.891712142550816,"tSNE_KMEANS_45-70",34,"tSNE_KMEANS_45",70
"2353","7_33",0.99382217035811,"sc3_40-75",40,"sc3_40",75
"2354","7_33",0.988355824526768,"sc3_45-75",45,"sc3_45",75
"2355","7_33",0.854127380967983,"UMAP_KMEANS_35-75",26,"UMAP_KMEANS_35",75
