"","nCells","param","Value","Name","n_clus","clustering","level"
"324","150","30",0.498174442696711,"X30.1-10",30,"X30.1",10
"325","150","30",0.355039105215288,"sc3-15",30,"sc3",15
"326","150","30",0.601957082725865,"X30-15",29,"X30",15
"327","150","30",0.498174442696711,"X30.1-15",30,"X30.1",15
"328","150","30",0.355039105215288,"sc3-20",30,"sc3",20
"329","150","30",0.601957082725865,"X30-20",29,"X30",20
"330","150","30",0.498174442696711,"X30.1-20",30,"X30.1",20
"331","150","30",0.355039105215288,"sc3-25",30,"sc3",25
"332","150","30",0.631461120439076,"X30-25",28,"X30",25
"333","150","30",0.498174442696711,"X30.1-25",30,"X30.1",25
"334","150","30",0.355039105215288,"sc3-30",30,"sc3",30
"335","150","30",0.631461120439076,"X30-30",28,"X30",30
"336","150","30",0.498174442696711,"X30.1-30",30,"X30.1",30
"337","150","30",0.355039105215288,"sc3-35",30,"sc3",35
"338","150","30",0.631461120439076,"X30-35",28,"X30",35
"339","150","30",0.498174442696711,"X30.1-35",30,"X30.1",35
"340","150","30",0.355039105215288,"sc3-40",30,"sc3",40
"341","150","30",0.631461120439076,"X30-40",28,"X30",40
"342","150","30",0.498174442696711,"X30.1-40",30,"X30.1",40
"343","150","30",0.355039105215288,"sc3-45",30,"sc3",45
"344","150","30",0.631461120439076,"X30-45",28,"X30",45
"345","150","30",0.498174442696711,"X30.1-45",30,"X30.1",45
"346","150","30",0.369572785247017,"sc3-50",29,"sc3",50
"347","150","30",0.631461120439076,"X30-50",28,"X30",50
"348","150","30",0.498174442696711,"X30.1-50",30,"X30.1",50
"349","150","30",0.369572785247017,"sc3-55",29,"sc3",55
"350","150","30",0.631461120439076,"X30-55",28,"X30",55
"351","150","30",0.498174442696711,"X30.1-55",30,"X30.1",55
"352","150","30",0.369572785247017,"sc3-60",29,"sc3",60
"353","150","30",0.631461120439076,"X30-60",28,"X30",60
"354","150","30",0.498174442696711,"X30.1-60",30,"X30.1",60
"355","150","30",0.369572785247017,"sc3-65",29,"sc3",65
"356","150","30",0.631461120439076,"X30-65",28,"X30",65
"357","150","30",0.498174442696711,"X30.1-65",30,"X30.1",65
"358","150","30",0.392316884190779,"sc3-70",28,"sc3",70
"359","150","30",0.631461120439076,"X30-70",28,"X30",70
"360","150","30",0.498174442696711,"X30.1-70",30,"X30.1",70
"361","150","30",0.392316884190779,"sc3-75",28,"sc3",75
"362","150","30",0.631461120439076,"X30-75",28,"X30",75
"363","150","30",0.498174442696711,"X30.1-75",30,"X30.1",75
"364","150","30",0.392316884190779,"sc3-80",28,"sc3",80
"365","150","30",0.631461120439076,"X30-80",28,"X30",80
"366","150","30",0.522348499271038,"X30.1-80",29,"X30.1",80
"367","150","30",0.392316884190779,"sc3-85",28,"sc3",85
"368","150","30",0.631461120439076,"X30-85",28,"X30",85
"369","150","30",0.522348499271038,"X30.1-85",29,"X30.1",85
"370","150","30",0.436030373898634,"sc3-90",27,"sc3",90
"371","150","30",0.631461120439076,"X30-90",28,"X30",90
"372","150","30",0.522348499271038,"X30.1-90",29,"X30.1",90
"373","150","30",0.436030373898634,"sc3-95",27,"sc3",95
"374","150","30",0.631461120439076,"X30-95",28,"X30",95
"375","150","30",0.522348499271038,"X30.1-95",29,"X30.1",95
"376","150","30",0.436030373898634,"sc3-100",27,"sc3",100
"377","150","30",0.631461120439076,"X30-100",28,"X30",100
"378","150","30",0.522348499271038,"X30.1-100",29,"X30.1",100
"379","150","35",0.36282754068249,"sc3-00",35,"sc3",0
"380","150","35",0.512930519167774,"X35-00",35,"X35",0
"381","150","35",0.448885516572392,"X35.1-00",35,"X35.1",0
"382","150","35",0.383033273207864,"sc3-05",34,"sc3",5
"383","150","35",0.512930519167774,"X35-05",35,"X35",5
"384","150","35",0.448885516572392,"X35.1-05",35,"X35.1",5
"385","150","35",0.383033273207864,"sc3-10",34,"sc3",10
"386","150","35",0.5476593951158,"X35-10",34,"X35",10
"387","150","35",0.448885516572392,"X35.1-10",35,"X35.1",10
"388","150","35",0.383033273207864,"sc3-15",34,"sc3",15
"389","150","35",0.5476593951158,"X35-15",34,"X35",15
"390","150","35",0.448885516572392,"X35.1-15",35,"X35.1",15
"391","150","35",0.383033273207864,"sc3-20",34,"sc3",20
"392","150","35",0.558197260681062,"X35-20",33,"X35",20
"393","150","35",0.448885516572392,"X35.1-20",35,"X35.1",20
"394","150","35",0.383033273207864,"sc3-25",34,"sc3",25
"395","150","35",0.558197260681062,"X35-25",33,"X35",25
"396","150","35",0.448885516572392,"X35.1-25",35,"X35.1",25
"397","150","35",0.383033273207864,"sc3-30",34,"sc3",30
"398","150","35",0.558197260681062,"X35-30",33,"X35",30
"399","150","35",0.472963143788049,"X35.1-30",34,"X35.1",30
"400","150","35",0.383033273207864,"sc3-35",34,"sc3",35
"401","150","35",0.558197260681062,"X35-35",33,"X35",35
"402","150","35",0.529429088843528,"X35.1-35",33,"X35.1",35
"403","150","35",0.383033273207864,"sc3-40",34,"sc3",40
"404","150","35",0.558197260681062,"X35-40",33,"X35",40
"405","150","35",0.529429088843528,"X35.1-40",33,"X35.1",40
"406","150","35",0.428372970237821,"sc3-45",33,"sc3",45
"407","150","35",0.558197260681062,"X35-45",33,"X35",45
"408","150","35",0.529429088843528,"X35.1-45",33,"X35.1",45
"409","150","35",0.428372970237821,"sc3-50",33,"sc3",50
"410","150","35",0.558197260681062,"X35-50",33,"X35",50
"411","150","35",0.529429088843528,"X35.1-50",33,"X35.1",50
"412","150","35",0.428372970237821,"sc3-55",33,"sc3",55
"413","150","35",0.558197260681062,"X35-55",33,"X35",55
"414","150","35",0.529429088843528,"X35.1-55",33,"X35.1",55
"415","150","35",0.428372970237821,"sc3-60",33,"sc3",60
"416","150","35",0.54828619945892,"X35-60",32,"X35",60
"417","150","35",0.529429088843528,"X35.1-60",33,"X35.1",60
"418","150","35",0.428372970237821,"sc3-65",33,"sc3",65
"419","150","35",0.54828619945892,"X35-65",32,"X35",65
"420","150","35",0.541603269975559,"X35.1-65",32,"X35.1",65
"421","150","35",0.428372970237821,"sc3-70",33,"sc3",70
"422","150","35",0.54828619945892,"X35-70",32,"X35",70
"423","150","35",0.537613499047897,"X35.1-70",31,"X35.1",70
"424","150","35",0.46131727485991,"sc3-75",32,"sc3",75
"425","150","35",0.54828619945892,"X35-75",32,"X35",75
"426","150","35",0.537613499047897,"X35.1-75",31,"X35.1",75
"427","150","35",0.46131727485991,"sc3-80",32,"sc3",80
"428","150","35",0.584146316932856,"X35-80",31,"X35",80
"429","150","35",0.537613499047897,"X35.1-80",31,"X35.1",80
"430","150","35",0.471304606240713,"sc3-85",31,"sc3",85
"431","150","35",0.584146316932856,"X35-85",31,"X35",85
"432","150","35",0.537613499047897,"X35.1-85",31,"X35.1",85
"433","150","35",0.517521581629237,"sc3-90",30,"sc3",90
"434","150","35",0.584146316932856,"X35-90",31,"X35",90
"435","150","35",0.537613499047897,"X35.1-90",31,"X35.1",90
"436","150","35",0.517521581629237,"sc3-95",30,"sc3",95
"437","150","35",0.599579972031313,"X35-95",30,"X35",95
"438","150","35",0.537613499047897,"X35.1-95",31,"X35.1",95
"439","150","35",0.520977197577064,"sc3-100",29,"sc3",100
"440","150","35",0.599579972031313,"X35-100",30,"X35",100
"441","150","35",0.555542825731947,"X35.1-100",29,"X35.1",100
"442","150","40",0.377397371856309,"sc3-00",40,"sc3",0
"443","150","40",0.439552032641265,"X40-00",40,"X40",0
"444","150","40",0.469650682323252,"X40.1-00",40,"X40.1",0
"445","150","40",0.377397371856309,"sc3-05",40,"sc3",5
"446","150","40",0.439552032641265,"X40-05",40,"X40",5
"447","150","40",0.537806608554632,"X40.1-05",39,"X40.1",5
