"","sim","param","Value","Name","n_clus","clustering","level"
"random_1-50...253","Dataset_1","3_0.2",0.564706572467561,"random_1-50",26,"random_1",50
"random_2-50...254","Dataset_1","3_0.2",0.523536692242497,"random_2-50",32,"random_2",50
"random_3-50...255","Dataset_1","3_0.2",0.601481735349489,"random_3-50",45,"random_3",50
"sc3-55...256","Dataset_1","3_0.2",0.959263380682416,"sc3-55",40,"sc3",55
"X40-55...257","Dataset_1","3_0.2",0.853437174092408,"X40-55",33,"X40",55
"X40.1-55...258","Dataset_1","3_0.2",0.895950301673984,"X40.1-55",20,"X40.1",55
"random_1-55...259","Dataset_1","3_0.2",0.564706572467561,"random_1-55",26,"random_1",55
"random_2-55...260","Dataset_1","3_0.2",0.542342138876455,"random_2-55",29,"random_2",55
"random_3-55...261","Dataset_1","3_0.2",0.601481735349489,"random_3-55",45,"random_3",55
"sc3-60...262","Dataset_1","3_0.2",0.959263380682416,"sc3-60",40,"sc3",60
"X40-60...263","Dataset_1","3_0.2",0.853437174092408,"X40-60",33,"X40",60
"X40.1-60...264","Dataset_1","3_0.2",0.901481279768746,"X40.1-60",19,"X40.1",60
"random_1-60...265","Dataset_1","3_0.2",0.564706572467561,"random_1-60",26,"random_1",60
"random_2-60...266","Dataset_1","3_0.2",0.570253750700078,"random_2-60",25,"random_2",60
"random_3-60...267","Dataset_1","3_0.2",0.601481735349489,"random_3-60",45,"random_3",60
"sc3-65...268","Dataset_1","3_0.2",0.959263380682416,"sc3-65",40,"sc3",65
"X40-65...269","Dataset_1","3_0.2",0.873053239765215,"X40-65",30,"X40",65
"X40.1-65...270","Dataset_1","3_0.2",0.909550688853555,"X40.1-65",18,"X40.1",65
"random_1-65...271","Dataset_1","3_0.2",0.570006563005402,"random_1-65",25,"random_1",65
"random_2-65...272","Dataset_1","3_0.2",0.570253750700078,"random_2-65",25,"random_2",65
"random_3-65...273","Dataset_1","3_0.2",0.601481735349489,"random_3-65",45,"random_3",65
"sc3-70...274","Dataset_1","3_0.2",0.959263380682416,"sc3-70",40,"sc3",70
"X40-70...275","Dataset_1","3_0.2",0.891890974921123,"X40-70",27,"X40",70
"X40.1-70...276","Dataset_1","3_0.2",0.909550688853555,"X40.1-70",18,"X40.1",70
"random_1-70...277","Dataset_1","3_0.2",0.581645778236621,"random_1-70",23,"random_1",70
"random_2-70...278","Dataset_1","3_0.2",0.570253750700078,"random_2-70",25,"random_2",70
"random_3-70...279","Dataset_1","3_0.2",0.601481735349489,"random_3-70",45,"random_3",70
"sc3-75...280","Dataset_1","3_0.2",0.959263380682416,"sc3-75",40,"sc3",75
"X40-75...281","Dataset_1","3_0.2",0.921577186475206,"X40-75",25,"X40",75
"X40.1-75...282","Dataset_1","3_0.2",0.909550688853555,"X40.1-75",18,"X40.1",75
"random_1-75...283","Dataset_1","3_0.2",0.586314781662418,"random_1-75",22,"random_1",75
"random_2-75...284","Dataset_1","3_0.2",0.585283449381877,"random_2-75",23,"random_2",75
"random_3-75...285","Dataset_1","3_0.2",0.601481735349489,"random_3-75",45,"random_3",75
