"","param","Value","Name","n_clus","clustering","level"
"280","50",0.984199833647163,"sc3-45",50,"sc3",45
"281","50",0.916048242865661,"UMAP_KMEANS-45",39,"UMAP_KMEANS",45
"282","50",0.906527206278625,"tSNE_KMEANS-45",42,"tSNE_KMEANS",45
"283","50",0.984199833647163,"sc3-50",50,"sc3",50
"284","50",0.930649942192491,"UMAP_KMEANS-50",36,"UMAP_KMEANS",50
"285","50",0.906527206278625,"tSNE_KMEANS-50",42,"tSNE_KMEANS",50
"286","50",0.984199833647163,"sc3-55",50,"sc3",55
"287","50",0.937140717063375,"UMAP_KMEANS-55",35,"UMAP_KMEANS",55
"288","50",0.910407990529229,"tSNE_KMEANS-55",41,"tSNE_KMEANS",55
"289","50",0.984199833647163,"sc3-60",50,"sc3",60
"290","50",0.937140717063375,"UMAP_KMEANS-60",35,"UMAP_KMEANS",60
"291","50",0.932183302701469,"tSNE_KMEANS-60",38,"tSNE_KMEANS",60
"292","50",0.984199833647163,"sc3-65",50,"sc3",65
"293","50",0.947060862214578,"UMAP_KMEANS-65",33,"UMAP_KMEANS",65
"294","50",0.932183302701469,"tSNE_KMEANS-65",38,"tSNE_KMEANS",65
"295","50",0.984199833647163,"sc3-70",50,"sc3",70
"296","50",0.957464127510073,"UMAP_KMEANS-70",31,"UMAP_KMEANS",70
"297","50",0.935320879452616,"tSNE_KMEANS-70",37,"tSNE_KMEANS",70
"298","50",0.984199833647163,"sc3-75",50,"sc3",75
"299","50",0.957464127510073,"UMAP_KMEANS-75",31,"UMAP_KMEANS",75
"300","50",0.94907813153329,"tSNE_KMEANS-75",35,"tSNE_KMEANS",75
"301","50",0.984199833647163,"sc3-80",50,"sc3",80
"302","50",0.962305983202153,"UMAP_KMEANS-80",30,"UMAP_KMEANS",80
"303","50",0.95813542034296,"tSNE_KMEANS-80",32,"tSNE_KMEANS",80
"304","50",0.984199833647163,"sc3-85",50,"sc3",85
"305","50",0.962305983202153,"UMAP_KMEANS-85",30,"UMAP_KMEANS",85
"306","50",0.968438759830647,"tSNE_KMEANS-85",29,"tSNE_KMEANS",85
"307","50",0.988583654238285,"sc3-90",46,"sc3",90
"308","50",0.96524736269441,"UMAP_KMEANS-90",29,"UMAP_KMEANS",90
"309","50",0.968438759830647,"tSNE_KMEANS-90",29,"tSNE_KMEANS",90
"310","50",0.964093981231869,"sc3-95",30,"sc3",95
"311","50",0.935672183442358,"UMAP_KMEANS-95",28,"UMAP_KMEANS",95
"312","50",0.968438759830647,"tSNE_KMEANS-95",29,"tSNE_KMEANS",95
"313","50",0.964093981231869,"sc3-100",30,"sc3",100
"314","50",0.935672183442358,"UMAP_KMEANS-100",28,"UMAP_KMEANS",100
"315","50",0.968438759830647,"tSNE_KMEANS-100",29,"tSNE_KMEANS",100
