"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"Cell52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,16,1,1,1,1,1,1,1,"Cell52"
"Cell53",28,27,25,28,28,25,30,28,27,30,28,26,30,28,27,30,28,28,30,28,29,30,28,29,30,29,30,30,29,30,30,29,30,29,29,30,29,29,30,30,29,30,30,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,"Cell53"
"Cell54",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell54"
"Cell55",1,1,1,25,1,1,26,1,1,26,1,1,26,1,1,26,1,1,25,1,22,26,1,24,26,22,22,26,22,22,26,22,22,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,20,23,26,20,23,"Cell55"
"Cell56",14,16,16,12,16,13,15,16,14,15,16,15,15,16,15,15,16,13,15,16,11,15,16,11,15,16,11,15,16,12,15,16,12,13,16,12,13,16,12,15,16,11,15,16,11,14,16,11,14,16,11,14,16,12,14,17,12,14,17,12,14,17,12,14,17,12,14,17,12,"Cell56"
"Cell57",10,10,10,11,10,10,11,10,11,11,10,11,11,10,11,11,10,9,11,10,9,11,10,9,11,10,9,11,10,9,10,10,9,11,10,9,11,10,9,10,10,9,10,10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,"Cell57"
"Cell58",19,22,22,19,22,22,20,22,22,20,22,22,20,22,22,20,22,23,20,22,24,20,22,23,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,19,23,24,"Cell58"
"Cell59",28,27,25,28,28,25,30,28,27,30,28,26,30,28,27,30,28,28,30,28,29,30,28,29,30,29,30,30,29,30,30,29,30,29,29,30,29,29,30,30,29,30,30,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,"Cell59"
"Cell60",2,11,2,2,11,2,3,11,2,3,11,2,3,11,2,3,11,15,3,11,15,3,11,15,3,11,15,3,11,15,11,11,15,12,11,15,12,11,15,11,11,15,11,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,"Cell60"
"Cell61",13,13,14,14,13,15,14,13,15,14,13,14,14,13,13,14,13,12,14,13,13,14,13,13,14,13,13,14,13,14,14,13,14,15,13,14,15,13,14,14,13,13,14,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,14,13,13,14,13,13,14,13,13,14,"Cell61"
"Cell62",29,31,29,30,32,30,31,32,31,31,32,30,31,32,31,31,32,32,31,32,33,31,32,33,31,33,33,31,33,33,31,33,33,31,33,33,31,33,33,32,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,"Cell62"
"Cell63",30,32,30,31,33,31,32,33,32,32,33,32,32,33,33,32,33,33,32,33,34,32,33,34,32,34,34,32,34,34,32,34,34,32,34,34,33,34,34,33,34,34,33,34,34,34,34,34,35,34,34,35,34,34,35,34,34,35,34,34,35,34,34,35,34,34,35,34,34,"Cell63"
"Cell64",19,22,22,19,22,22,20,22,22,20,22,22,20,22,22,20,22,23,20,22,24,20,22,23,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,19,23,24,"Cell64"
"Cell65",15,14,12,15,14,12,16,14,12,16,14,10,16,14,14,16,14,10,16,14,14,16,14,14,16,14,14,16,14,11,16,14,11,16,14,11,16,14,11,16,14,14,16,14,14,15,14,14,15,14,14,15,14,11,15,14,11,15,14,11,15,14,11,15,14,11,15,14,11,"Cell65"
"Cell66",29,31,29,30,32,30,31,32,31,31,32,30,31,32,31,31,32,32,31,32,33,31,32,33,31,33,33,31,33,33,31,33,33,31,33,33,31,33,33,32,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,"Cell66"
"Cell67",26,26,26,27,27,26,28,27,26,28,27,27,28,27,28,28,27,27,28,27,30,28,27,30,28,28,29,28,28,29,28,28,29,27,28,29,27,28,29,28,28,29,28,28,29,29,28,29,29,28,29,29,28,29,29,28,29,29,28,29,29,28,29,29,28,29,29,28,29,"Cell67"
"Cell68",5,4,4,5,4,5,6,4,5,6,4,5,6,4,4,6,4,3,6,4,4,6,4,4,6,4,4,6,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Cell68"
"Cell70",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,1,1,44,1,"Cell70"
"Cell71",23,25,24,23,26,24,24,26,25,24,26,25,24,26,26,24,26,26,24,26,28,24,26,28,24,27,28,25,27,28,25,27,28,25,27,28,24,27,28,25,27,28,25,27,28,25,27,28,25,27,28,25,27,28,25,27,28,25,27,28,25,27,28,25,27,28,25,27,28,"Cell71"
"Cell72",17,17,18,17,17,18,18,17,18,18,17,18,18,17,18,18,17,18,18,17,20,18,17,20,18,17,20,18,17,20,18,17,20,17,17,20,17,17,20,18,17,20,18,17,20,18,17,20,18,17,20,18,17,20,18,18,20,18,18,20,18,18,20,18,18,20,18,18,20,"Cell72"
"Cell73",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell73"
"Cell74",4,3,5,4,3,4,5,3,4,5,3,4,5,3,5,5,3,4,5,3,3,5,3,3,5,3,3,5,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Cell74"
"Cell75",10,10,10,11,10,10,11,10,11,11,10,11,11,10,11,11,10,9,11,10,9,11,10,9,11,10,9,11,10,9,10,10,9,11,10,9,11,10,9,10,10,9,10,10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,"Cell75"
